o,h,l,c,v,timestamp
1889.9000244140625,1894.9000244140625,1888.0,1891.0,88626,2025-09-09 03:45:00+00:00
1891.300048828125,1891.9000244140625,1888.699951171875,1889.9000244140625,81644,2025-09-09 04:00:00+00:00
1890.300048828125,1890.300048828125,1887.5999755859375,1887.699951171875,53724,2025-09-09 04:15:00+00:00
1888.0,1888.300048828125,1884.699951171875,1885.300048828125,49144,2025-09-09 04:30:00+00:00
1885.199951171875,1886.699951171875,1884.300048828125,1886.4000244140625,70105,2025-09-09 04:45:00+00:00
1886.699951171875,1887.9000244140625,1885.0,1885.199951171875,82777,2025-09-09 05:00:00+00:00
1885.199951171875,1887.0,1883.0999755859375,1885.300048828125,306117,2025-09-09 05:15:00+00:00
1885.199951171875,1887.699951171875,1883.9000244140625,1886.800048828125,260233,2025-09-09 05:30:00+00:00
1886.699951171875,1888.0,1886.199951171875,1886.300048828125,74371,2025-09-09 05:45:00+00:00
1885.5999755859375,1891.300048828125,1885.199951171875,1890.5,261846,2025-09-09 06:00:00+00:00
1890.199951171875,1895.4000244140625,1890.0999755859375,1894.4000244140625,137523,2025-09-09 06:15:00+00:00
1894.199951171875,1899.0,1891.300048828125,1897.699951171875,224739,2025-09-09 06:30:00+00:00
1897.699951171875,1899.9000244140625,1895.300048828125,1896.5,227842,2025-09-09 06:45:00+00:00
1896.699951171875,1899.9000244140625,1896.300048828125,1899.800048828125,136119,2025-09-09 07:00:00+00:00
1899.699951171875,1903.800048828125,1899.5999755859375,1903.800048828125,155117,2025-09-09 07:15:00+00:00
1903.5,1903.800048828125,1900.199951171875,1901.5999755859375,102634,2025-09-09 07:30:00+00:00
1901.300048828125,1902.0,1899.0999755859375,1901.300048828125,57511,2025-09-09 07:45:00+00:00
1901.199951171875,1902.800048828125,1899.9000244140625,1900.5,81520,2025-09-09 08:00:00+00:00
1900.5,1900.9000244140625,1900.0999755859375,1900.4000244140625,53173,2025-09-09 08:15:00+00:00
1900.199951171875,1901.300048828125,1898.9000244140625,1900.199951171875,119214,2025-09-09 08:30:00+00:00
1900.0999755859375,1900.9000244140625,1899.0999755859375,1900.300048828125,119838,2025-09-09 08:45:00+00:00
1900.4000244140625,1900.4000244140625,1892.0999755859375,1894.800048828125,175576,2025-09-09 09:00:00+00:00
1894.5999755859375,1897.9000244140625,1893.300048828125,1895.5999755859375,161119,2025-09-09 09:15:00+00:00
1895.5999755859375,1896.0,1892.4000244140625,1894.199951171875,693833,2025-09-09 09:30:00+00:00
1894.199951171875,1896.9000244140625,1892.800048828125,1893.4000244140625,563836,2025-09-09 09:45:00+00:00
1903.5999755859375,1904.0999755859375,1898.800048828125,1903.0,259983,2025-09-10 03:45:00+00:00
1902.699951171875,1904.0,1901.5,1901.9000244140625,76126,2025-09-10 04:00:00+00:00
1902.199951171875,1903.9000244140625,1900.0,1902.699951171875,104719,2025-09-10 04:15:00+00:00
1902.699951171875,1904.4000244140625,1900.699951171875,1901.0999755859375,68475,2025-09-10 04:30:00+00:00
1901.199951171875,1903.199951171875,1899.5,1902.5999755859375,55359,2025-09-10 04:45:00+00:00
1902.0999755859375,1902.300048828125,1896.5,1898.300048828125,72123,2025-09-10 05:00:00+00:00
1897.5,1899.4000244140625,1895.0999755859375,1896.0,165775,2025-09-10 05:15:00+00:00
1896.0,1900.199951171875,1895.5,1895.5,290830,2025-09-10 05:30:00+00:00
1895.5,1895.5999755859375,1892.5999755859375,1892.9000244140625,161214,2025-09-10 05:45:00+00:00
1893.0,1893.5,1891.699951171875,1891.699951171875,64656,2025-09-10 06:00:00+00:00
1892.199951171875,1892.199951171875,1889.0,1890.0,71776,2025-09-10 06:15:00+00:00
