o,h,l,c,v,timestamp
425.257391898111,425.28716713975047,415.68921038228643,417.5552062988281,19092900,2024-10-01
419.4310992466512,419.66933146547984,413.6048448503053,414.021728515625,16582300,2024-10-02
414.51800085029123,416.4236768512481,411.20289276743637,413.4361267089844,13686400,2024-10-03
415.1234652064613,416.62222309915006,411.87784259208183,412.959716796875,19169700,2024-10-04
412.90013544904184,414.0018496365578,405.95229663138974,406.48828125,20919800,2024-10-07
407.83814388099404,412.5626841012525,405.1285060524599,411.6197509765625,19229300,2024-10-08
412.7611596791307,417.247497795826,411.2127866111198,414.3492431640625,14974300,2024-10-09
412.1358625356339,414.24006019253727,410.0713450038319,412.7413024902344,13848400,2024-10-10
413.03912198810315,414.02173524996044,410.1706424598083,413.2177734375,14144900,2024-10-11
414.65693738807056,420.8802352901763,414.40880028614094,416.0167541503906,16653100,2024-10-14
419.03405871782695,419.3318413994773,412.16564103956983,415.61968994140625,18900200,2024-10-15
412.0763232895253,413.25742799200697,407.4212689749873,413.01922607421875,15508900,2024-10-16
419.2127339196968,419.35170523704693,412.49319205621896,413.6147766113281,14820000,2024-10-17
417.14,419.65,416.2601,418.16,17145317,2024-10-18
