o,h,l,c,v,timestamp
1420.300048828125,1421.300048828125,1416.5,1417.4000244140625,0,2025-09-18 03:45:00+00:00
1417.199951171875,1417.5999755859375,1415.199951171875,1416.9000244140625,206131,2025-09-18 03:50:00+00:00
1416.9000244140625,1419.199951171875,1416.699951171875,1418.699951171875,154781,2025-09-18 03:55:00+00:00
1418.5,1419.0,1417.300048828125,1418.699951171875,108007,2025-09-18 04:00:00+00:00
1418.800048828125,1420.0,1417.9000244140625,1418.5,165210,2025-09-18 04:05:00+00:00
1418.300048828125,1418.5999755859375,1417.0,1418.5,70817,2025-09-18 04:10:00+00:00
1418.5,1420.300048828125,1418.0,1420.300048828125,119828,2025-09-18 04:15:00+00:00
1420.199951171875,1420.9000244140625,1419.5,1420.0,102221,2025-09-18 04:20:00+00:00
1419.9000244140625,1420.0999755859375,1418.5999755859375,1419.5,59442,2025-09-18 04:25:00+00:00
1419.5,1419.9000244140625,1418.4000244140625,1419.199951171875,74308,2025-09-18 04:30:00+00:00
1419.300048828125,1419.800048828125,1418.800048828125,1419.300048828125,54191,2025-09-18 04:35:00+00:00
1419.300048828125,1419.699951171875,1417.5999755859375,1418.0,79129,2025-09-18 04:40:00+00:00
1417.9000244140625,1418.0,1416.4000244140625,1417.0,97863,2025-09-18 04:45:00+00:00
1416.800048828125,1417.4000244140625,1416.5,1416.9000244140625,109956,2025-09-18 04:50:00+00:00
1416.9000244140625,1417.300048828125,1416.9000244140625,1417.0,29125,2025-09-18 04:55:00+00:00
1417.0,1417.199951171875,1416.199951171875,1416.4000244140625,54707,2025-09-18 05:00:00+00:00
1416.4000244140625,1416.5999755859375,1414.0,1416.0999755859375,139410,2025-09-18 05:05:00+00:00
1416.0999755859375,1418.0,1415.5,1416.9000244140625,158052,2025-09-18 05:10:00+00:00
1416.9000244140625,1417.5999755859375,1416.5999755859375,1416.5999755859375,47209,2025-09-18 05:15:00+00:00
1416.5,1417.5999755859375,1415.9000244140625,1416.0,126020,2025-09-18 05:20:00+00:00
1416.0,1416.800048828125,1415.9000244140625,1416.800048828125,38919,2025-09-18 05:25:00+00:00
1417.0,1417.0,1415.5999755859375,1415.800048828125,51889,2025-09-18 05:30:00+00:00
1415.5999755859375,1415.9000244140625,1415.0,1415.4000244140625,52235,2025-09-18 05:35:00+00:00
1415.5,1415.9000244140625,1415.0,1415.0999755859375,36994,2025-09-18 05:40:00+00:00
1415.300048828125,1415.800048828125,1415.0999755859375,1415.199951171875,28781,2025-09-18 05:45:00+00:00
1415.0999755859375,1415.5,1414.699951171875,1414.9000244140625,40693,2025-09-18 05:50:00+00:00
