o,h,l,c,v
1.16386,1.17343,1.15138,1.16347,0
1.16371,1.17227,1.15707,1.166,0
1.16396,1.17256,1.15819,1.16565,0
1.16747,1.1769,1.1604,1.17219,0
1.17187,1.18062,1.17158,1.17688,0
1.17729,1.17896,1.16669,1.17022,0
1.16855,1.17214,1.15828,1.1703,0
1.17027,1.17688,1.16253,1.17341,0
1.17499,1.17961,1.16787,1.17357,0
1.17226,1.18262,1.16829,1.17635,0
1.17591,1.19078,1.17452,1.1871,0
1.18878,1.19241,1.17117,1.18257,0
1.18035,1.18821,1.16638,1.17898,0
1.17933,1.1867,1.16357,1.17456,0
1.1742,1.18888,1.16215,1.18005,0
1.17815,1.18614,1.17001,1.18139,0
1.17955,1.18218,1.16685,1.17441,0
1.17597,1.18146,1.15884,1.16622,0
1.16786,1.17963,1.15679,1.17025,0
1.16991,1.17879,1.16477,1.17312,0
1.17211,1.18355,1.16547,1.17353,0
1.17175,1.18232,1.169,1.17335,0
